CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount,StreetAddr,City,State,ZIP,RegionType,Date,Month,DayOfWeek,Hour,Quarter,Year
888163,D,7,13.12193739,2023-12-26 05:32:00,PayPal,"USNV Harrell, FPO AA 62814",Clothing,16.29512671,76.88590745,USNV Harrell,USNV Harrell,AA,62814,Military/Abroad,2023-12-26,December,Tuesday,5,2023Q4,2023
65632,D,8,78.12314235,2023-12-29 05:07:00,PayPal,"PSC 1498, Box 4142, APO AP 10928",Electronics,14.70431078,533.0853817,PSC 1498,Box 4142,AP,10928,Military/Abroad,2023-12-29,December,Friday,5,2023Q4,2023
609241,A,7,62.02823758,2023-06-12 07:02:00,PayPal,"Unit 7268 Box 3644, DPO AP 43969",Clothing,18.38875557,354.3541161,Unit 7268 Box 3644,Unit 7268 Box 3644,AP,43969,Military/Abroad,2023-06-12,June,Monday,7,2023Q2,2023
147124,C,2,79.67386347,2023-05-25 10:49:00,Cash,"USNS David, FPO AE 12953",Clothing,12.91378242,138.7699082,USNS David,USNS David,AE,12953,Military/Abroad,2023-05-25,May,Thursday,10,2023Q2,2023
210377,A,7,87.26431386,2024-03-02 22:56:00,Debit Card,"Unit 4486 Box 3431, DPO AE 41617",Books,5.36747935,578.0629389,Unit 4486 Box 3431,Unit 4486 Box 3431,AE,41617,Military/Abroad,2024-03-02,March,Saturday,22,2024Q1,2024
70530,C,1,75.38851452,2023-06-08 19:38:00,PayPal,"PSC 8454, Box 4823, APO AE 17356",Books,18.43627657,61.48967949,PSC 8454,Box 4823,AE,17356,Military/Abroad,2023-06-08,June,Thursday,19,2023Q2,2023
472995,B,5,69.2038385,2023-05-19 02:21:00,Cash,"Unit 5493 Box 4915, DPO AE 46180",Books,16.49585071,288.9403831,Unit 5493 Box 4915,Unit 5493 Box 4915,AE,46180,Military/Abroad,2023-05-19,May,Friday,2,2023Q2,2023
509745,C,7,32.44361216,2024-03-01 18:51:00,Debit Card,"Unit 4248 Box 3478, DPO AP 26267",Books,4.70639588,216.4168113,Unit 4248 Box 3478,Unit 4248 Box 3478,AP,26267,Military/Abroad,2024-03-01,March,Friday,18,2024Q1,2024
211409,C,3,54.95003129,2023-09-06 17:42:00,Credit Card,"PSC 4308, Box 2125, APO AE 53765",Clothing,0.980459509,163.2338054,PSC 4308,Box 2125,AE,53765,Military/Abroad,2023-09-06,September,Wednesday,17,2023Q3,2023
636398,C,7,16.69540414,2023-06-10 10:41:00,Cash,"PSC 3555, Box 8474, APO AA 67962",Home Decor,14.88628199,99.4705544,PSC 3555,Box 8474,AA,67962,Military/Abroad,2023-06-10,June,Saturday,10,2023Q2,2023
